"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2024 - 2025","Prince William County Public Schools","George G. Tyler Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","George M. Hampton Middle",SCH,69.3
"2024 - 2025","Prince William County Public Schools","George P. Mullen Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Glenkirk Elementary",SCH,17.6
"2024 - 2025","Prince William County Public Schools","Graham Park Middle",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Haymarket Elementary",SCH,22.2
"2024 - 2025","Prince William County Public Schools","Herbert J. Saunders Middle",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Innovation Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","J.W. Alvey Elementary",SCH,9.4
"2024 - 2025","Prince William County Public Schools","John D. Jenkins Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","John F. Pattie Sr. Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Kerrydale Elementary",SCH,69.1
"2024 - 2025","Prince William County Public Schools","Kyle R. Wilson Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Lake Ridge Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Lake Ridge Middle",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Leesylvania Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Loch Lomond Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Louise A. Benton Middle",SCH,25
"2024 - 2025","Prince William County Public Schools","Martin Luther King Jr. Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Marumsco Hills Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Mary G. Porter Traditional",SCH,37.1
"2024 - 2025","Prince William County Public Schools","Mary Williams Elementary ",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Minnieville Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Montclair Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Mountain View Elementary",SCH,14.7
"2024 - 2025","Prince William County Public Schools","Neabsco Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Occoquan Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Old Bridge Elementary",SCH,38.2
"2024 - 2025","Prince William County Public Schools","Osbourn Park High",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Parkside Middle",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Patriot High",SCH,24.6
"2024 - 2025","Prince William County Public Schools","Pennington Traditional",SCH,31.7
"2024 - 2025","Prince William County Public Schools","Piney Branch Elementary",SCH,20.9
"2024 - 2025","Prince William County Public Schools","Potomac High",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Potomac Middle",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Potomac Shores Middle",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Potomac View Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","R. Dean Kilby Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Rippon Middle",SCH,69.3
"2024 - 2025","Prince William County Public Schools","River Oaks Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Rockledge Elementary",SCH,69.4
"2024 - 2025","Prince William County Public Schools","Ronald Wilson Reagan Middle",SCH,16.8
"2024 - 2025","Prince William County Public Schools","Rosa Parks Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Samuel L. Gravely Jr. Elementary",SCH,15.1
"2024 - 2025","Prince William County Public Schools","Sharon C. McAuliffe Elementary",SCH,69.4
"2024 - 2025","Prince William County Public Schools","Signal Hill Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Sonnie Penn Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Springwoods Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Stuart M. Beville Middle",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Sudley Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Suella G. Ellis Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Swans Creek Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","T. Clay Wood Elementary",SCH,21.3
"2024 - 2025","Prince William County Public Schools","The Nokesville School",SCH,28.7
"2024 - 2025","Prince William County Public Schools","Thurgood Marshall Elementary",SCH,25
"2024 - 2025","Prince William County Public Schools","Triangle Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Unity Braxton Middle ",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Unity Reed High",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Victory Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","West Gate Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Westridge Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Woodbridge High",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Woodbridge Middle",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Yorkshire Elementary",SCH,69.3
"2024 - 2025","Pulaski County Public Schools","Critzer Elementary",SCH,92.5
"2024 - 2025","Pulaski County Public Schools","Pulaski County Middle",SCH,92.5
"2024 - 2025","Pulaski County Public Schools","Pulaski County Senior High",SCH,92.5
"2024 - 2025","Pulaski County Public Schools","Pulaski Elementary ",SCH,92.5
"2024 - 2025","Pulaski County Public Schools","Riverlawn Elementary",SCH,92.6
"2024 - 2025","Pulaski County Public Schools","Snowville Elementary",SCH,92.5
"2024 - 2025","Radford City Public Schools","Belle Heth Elementary",SCH,79.4
"2024 - 2025","Radford City Public Schools","John N. Dalton Intermediate",SCH,80
"2024 - 2025","Radford City Public Schools","McHarg Elementary",SCH,87
"2024 - 2025","Radford City Public Schools","Radford High",SCH,65.6
"2024 - 2025","Rappahannock County Public Schools","Rappahannock County Elementary",SCH,65.6
"2024 - 2025","Rappahannock County Public Schools","Rappahannock County High",SCH,52
"2024 - 2025","Richmond City Public Schools","Albert Hill Middle",SCH,100
"2024 - 2025","Richmond City Public Schools","Armstrong High ",SCH,100
"2024 - 2025","Richmond City Public Schools","Barack Obama Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Bellevue Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Blackwell Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Broad Rock Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Cardinal Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Chimborazo Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Dogwood Middle",SCH,100
"2024 - 2025","Richmond City Public Schools","Elizabeth D. Redd Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Fairfield Court Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Frances W. McClenney Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Franklin Military Academy",SCH,100
"2024 - 2025","Richmond City Public Schools","G.H. Reid Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","George W. Carver Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Henry Marsh III Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Huguenot High",SCH,100
"2024 - 2025","Richmond City Public Schools","J.B. Fisher Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","J.L. Francis Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","John Marshall High",SCH,100
"2024 - 2025","Richmond City Public Schools","Linwood Holton Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Lois Harrison-Jones Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Lucille M. Brown Middle",SCH,100
"2024 - 2025","Richmond City Public Schools","Martin Luther King Jr. Middle ",SCH,100
"2024 - 2025","Richmond City Public Schools","Mary Munford Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Miles Jones Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Oak Grove/Bellemeade Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Open High",SCH,100
"2024 - 2025","Richmond City Public Schools","Overby-Sheppard Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Patrick Henry School Of Science And Arts",SCH,100
"2024 - 2025","Richmond City Public Schools","Richmond Community High",SCH,100
"2024 - 2025","Richmond City Public Schools","Richmond High School for the Arts",SCH,100
"2024 - 2025","Richmond City Public Schools","River City Middle",SCH,100
"2024 - 2025","Richmond City Public Schools","Southampton Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Swansboro Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Thomas C. Boushall Middle",SCH,100
"2024 - 2025","Richmond City Public Schools","Thomas H. Henderson Middle",SCH,100
"2024 - 2025","Richmond City Public Schools","Thomas Jefferson High",SCH,100
"2024 - 2025","Richmond City Public Schools","Westover Hills Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","William Fox Elementary",SCH,100
"2024 - 2025","Richmond City Public Schools","Woodville Elementary",SCH,100
"2024 - 2025","Richmond County Public Schools","Rappahannock High",SCH,86.6
"2024 - 2025","Richmond County Public Schools","Richmond County Elementary",SCH,86.5
"2024 - 2025","Roanoke City Public Schools","Addison Aerospace Magnet Middle",SCH,100
"2024 - 2025","Roanoke City Public Schools","Breckinridge Middle",SCH,100
"2024 - 2025","Roanoke City Public Schools","Crystal Spring Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Fairview Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Fallon Park Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Fishburn Park Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Garden City Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Grandin Court Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Highland Park Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Hurt Park Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","James Madison Middle",SCH,100
"2024 - 2025","Roanoke City Public Schools","John P. Fishwick Middle",SCH,100
"2024 - 2025","Roanoke City Public Schools","Lincoln Terrace Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Monterey Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Morningside Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Patrick Henry High",SCH,100
"2024 - 2025","Roanoke City Public Schools","Preston Park Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Roanoke Academy For Mathematics & Science Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Round Hill Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Virginia Heights Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Wasena Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","Westside Elementary",SCH,100
"2024 - 2025","Roanoke City Public Schools","William Fleming High",SCH,100
"2024 - 2025","Roanoke City Public Schools","Woodrow Wilson Middle",SCH,100
"2024 - 2025","Roanoke County Public Schools","Back Creek Elementary",SCH,22.2
"2024 - 2025","Roanoke County Public Schools","Bonsack Elementary",SCH,22.4
"2024 - 2025","Roanoke County Public Schools","Burlington Elementary",SCH,94.8
"2024 - 2025","Roanoke County Public Schools","Cave Spring Elementary",SCH,22.6
"2024 - 2025","Roanoke County Public Schools","Cave Spring High",SCH,26.7
"2024 - 2025","Roanoke County Public Schools","Cave Spring Middle",SCH,30.5
"2024 - 2025","Roanoke County Public Schools","Clearbrook Elementary",SCH,42
"2024 - 2025","Roanoke County Public Schools","Fort Lewis Elementary",SCH,21.8
"2024 - 2025","Roanoke County Public Schools","Glen Cove Elementary",SCH,66.3
"2024 - 2025","Roanoke County Public Schools","Glenvar Elementary",SCH,42.6
"2024 - 2025","Roanoke County Public Schools","Glenvar High",SCH,35.9
"2024 - 2025","Roanoke County Public Schools","Glenvar Middle",SCH,39.5
"2024 - 2025","Roanoke County Public Schools","Green Valley Elementary",SCH,44.1
"2024 - 2025","Roanoke County Public Schools","Herman L. Horn Elementary",SCH,79.1
"2024 - 2025","Roanoke County Public Schools","Hidden Valley High",SCH,25.5
"2024 - 2025","Roanoke County Public Schools","Hidden Valley Middle",SCH,31.2
"2024 - 2025","Roanoke County Public Schools","Mason's Cove Elementary",SCH,68.6
"2024 - 2025","Roanoke County Public Schools","Mount Pleasant Elementary",SCH,81.4
"2024 - 2025","Roanoke County Public Schools","Mountain View Elementary",SCH,72.7
"2024 - 2025","Roanoke County Public Schools","Northside High",SCH,68.9
"2024 - 2025","Roanoke County Public Schools","Northside Middle",SCH,76.4
"2024 - 2025","Roanoke County Public Schools","Oak Grove Elementary",SCH,46.6
"2024 - 2025","Roanoke County Public Schools","Penn Forest Elementary",SCH,28.7
"2024 - 2025","Roanoke County Public Schools","W.E. Cundiff Elementary",SCH,80.4
"2024 - 2025","Roanoke County Public Schools","William Byrd High",SCH,38.4
"2024 - 2025","Roanoke County Public Schools","William Byrd Middle",SCH,66.1
"2024 - 2025","Rockbridge County Public Schools","Central Elementary",SCH,85.5
"2024 - 2025","Rockbridge County Public Schools","Fairfield Elementary",SCH,79
"2024 - 2025","Rockbridge County Public Schools","Maury River Middle",SCH,76
"2024 - 2025","Rockbridge County Public Schools","Mountain View Elementary",SCH,97.4
"2024 - 2025","Rockbridge County Public Schools","Natural Bridge Elementary",SCH,100
"2024 - 2025","Rockbridge County Public Schools","Rockbridge County High",SCH,61.4
"2024 - 2025","Rockingham County Public Schools","Broadway High",SCH,43.4
"2024 - 2025","Rockingham County Public Schools","Cub Run Elementary",SCH,66.2
"2024 - 2025","Rockingham County Public Schools","East Rockingham High",SCH,41.7
"2024 - 2025","Rockingham County Public Schools","Elkton Elementary",SCH,73.6
"2024 - 2025","Rockingham County Public Schools","Elkton Middle",SCH,66.3
"2024 - 2025","Rockingham County Public Schools","Fulks Run Elementary",SCH,76.6
"2024 - 2025","Rockingham County Public Schools","J. Frank Hillyard Middle",SCH,66.3
"2024 - 2025","Rockingham County Public Schools","John C. Myers Elementary",SCH,66.2
"2024 - 2025","Rockingham County Public Schools","John W. Wayland Elementary",SCH,42.9
"2024 - 2025","Rockingham County Public Schools","Lacey Spring Elementary",SCH,73.4
"2024 - 2025","Rockingham County Public Schools","Linville-Edom Elementary",SCH,62.9
"2024 - 2025","Rockingham County Public Schools","McGaheysville Elementary",SCH,41.2
"2024 - 2025","Rockingham County Public Schools","Montevideo Middle",SCH,37.6
"2024 - 2025","Rockingham County Public Schools","Mountain View Elementary",SCH,63
"2024 - 2025","Rockingham County Public Schools","Ottobine Elementary",SCH,73.3
"2024 - 2025","Rockingham County Public Schools","Peak View Elementary",SCH,44.4
"2024 - 2025","Rockingham County Public Schools","Plains Elementary",SCH,73.5
"2024 - 2025","Rockingham County Public Schools","Pleasant Valley Elementary",SCH,73.5
"2024 - 2025","Rockingham County Public Schools","River Bend Elementary",SCH,73.5
"2024 - 2025","Rockingham County Public Schools","South River Elementary",SCH,66.2
"2024 - 2025","Rockingham County Public Schools","Spotswood High",SCH,39.2
"2024 - 2025","Rockingham County Public Schools","Turner Ashby High",SCH,38.9
